Case_ID,Person_ID,Age_Group,Last_Latitude,Last_Longitude,Last_Seen_Time,Day,Weather,Usual_Area,Average_Distance,Average_Speed,Previous_Area,Time_Since_Last_Seen,Target_Area
CASE_IND_0047,PERSON_IND_0047,Senior (60+),28.56496,77.047921,2026-08-31 20:37:25,Monday,Foggy,Dwarka Sector 21,17.57,25.58,Noida Sector 18,13.4,Dwarka Sector 21
CASE_IND_0048,PERSON_IND_0048,Adult (36-60),28.5602,77.105014,2026-08-31 00:07:22,Monday,Windy,Aerocity Hub,2.28,12.2,Connaught Place Hub,33.9,Aerocity Hub
CASE_IND_0049,PERSON_IND_0049,Adult (36-60),28.602747,77.330669,2026-08-29 11:16:25,Saturday,Clear,Dwarka Sector 21,6.56,24.34,Connaught Place Hub,70.7,Noida Sector 18
CASE_IND_0050,PERSON_IND_0050,Young Adult (18-35),28.570076,77.07321,2026-08-30 05:57:55,Sunday,Foggy,Dwarka Sector 21,5.37,8.68,Dwarka Sector 21,52.0,Dwarka Sector 21
CASE_IND_0051,PERSON_IND_0051,Child (5-12),28.573134,77.302225,2026-08-31 19:54:12,Monday,Windy,Cyber City Gurgaon,12.49,7.86,Dwarka Sector 21,14.1,Noida Sector 18
CASE_IND_0052,PERSON_IND_0052,Young Adult (18-35),28.631951,77.257187,2026-08-30 04:26:15,Sunday,Rainy,Cyber City Gurgaon,16.85,43.39,Aerocity Hub,53.6,Connaught Place Hub
CASE_IND_0053,PERSON_IND_0053,Senior (60+),28.635513,77.218616,2026-08-30 21:26:20,Sunday,Clear,Connaught Place Hub,15.29,31.18,Dwarka Sector 21,36.6,Connaught Place Hub
CASE_IND_0054,PERSON_IND_0054,Adult (36-60),28.646749,77.212601,2026-09-01 06:18:56,Tuesday,Overcast,Noida Sector 18,3.08,9.16,Cyber City Gurgaon,3.7,Connaught Place Hub
CASE_IND_0055,PERSON_IND_0055,Adult (36-60),28.501398,77.092583,2026-08-30 07:30:18,Sunday,Overcast,Cyber City Gurgaon,18.07,13.02,Noida Sector 18,50.5,Cyber City Gurgaon
CASE_IND_0056,PERSON_IND_0056,Young Adult (18-35),28.565175,77.06383,2026-09-01 05:43:23,Tuesday,Overcast,Dwarka Sector 21,4.22,16.89,Aerocity Hub,4.3,Dwarka Sector 21
CASE_IND_0057,PERSON_IND_0057,Young Adult (18-35),28.511618,77.100031,2026-08-31 07:40:49,Monday,Rainy,Cyber City Gurgaon,9.56,19.64,Hauz Khas Village,26.3,Cyber City Gurgaon
CASE_IND_0058,PERSON_IND_0058,Teen (13-17),28.516533,77.08362,2026-08-31 09:06:30,Monday,Foggy,Cyber City Gurgaon,16.84,35.47,Noida Sector 18,24.9,Cyber City Gurgaon
CASE_IND_0059,PERSON_IND_0059,Adult (36-60),28.52349,77.194805,2026-08-31 06:28:12,Monday,Clear,Dwarka Sector 21,1.72,11.65,Hauz Khas Village,27.5,Hauz Khas Village
CASE_IND_0060,PERSON_IND_0060,Young Adult (18-35),28.544681,77.213017,2026-08-29 15:20:03,Saturday,Clear,Hauz Khas Village,10.24,38.11,Noida Sector 18,66.7,Hauz Khas Village
CASE_IND_0061,PERSON_IND_0061,Teen (13-17),28.627808,77.211471,2026-09-01 08:55:45,Tuesday,Foggy,Connaught Place Hub,11.88,29.24,Aerocity Hub,1.1,Connaught Place Hub
CASE_IND_0062,PERSON_IND_0062,Adult (36-60),28.550374,77.186391,2026-08-31 20:57:19,Monday,Overcast,Aerocity Hub,12.65,24.51,Aerocity Hub,13.0,Hauz Khas Village
CASE_IND_0063,PERSON_IND_0063,Adult (36-60),28.572344,77.3238,2026-08-29 21:42:31,Saturday,Clear,Hauz Khas Village,7.81,38.03,Noida Sector 18,60.3,Noida Sector 18
CASE_IND_0064,PERSON_IND_0064,Teen (13-17),28.640781,77.208549,2026-08-31 00:03:11,Monday,Rainy,Connaught Place Hub,6.84,41.67,Cyber City Gurgaon,33.9,Connaught Place Hub
CASE_IND_0065,PERSON_IND_0065,Teen (13-17),28.63214,77.228862,2026-08-30 05:20:09,Sunday,Rainy,Connaught Place Hub,11.11,40.81,Hauz Khas Village,52.7,Connaught Place Hub
CASE_IND_0066,PERSON_IND_0066,Young Adult (18-35),28.560193,77.344283,2026-08-31 12:22:07,Monday,Windy,Noida Sector 18,4.56,43.36,Noida Sector 18,21.6,Noida Sector 18
CASE_IND_0067,PERSON_IND_0067,Child (5-12),28.575967,77.361977,2026-08-31 03:55:12,Monday,Windy,Aerocity Hub,12.66,29.53,Noida Sector 18,30.1,Noida Sector 18
CASE_IND_0068,PERSON_IND_0068,Teen (13-17),28.540221,77.053254,2026-08-31 05:14:24,Monday,Rainy,Hauz Khas Village,8.26,13.45,Dwarka Sector 21,28.8,Dwarka Sector 21
CASE_IND_0069,PERSON_IND_0069,Young Adult (18-35),28.538543,77.05429,2026-08-30 09:19:46,Sunday,Windy,Connaught Place Hub,1.8,37.4,Dwarka Sector 21,48.7,Dwarka Sector 21
CASE_IND_0070,PERSON_IND_0070,Child (5-12),28.622108,77.223755,2026-08-29 19:24:43,Saturday,Rainy,Noida Sector 18,6.99,26.39,Cyber City Gurgaon,62.6,Connaught Place Hub
CASE_IND_0071,PERSON_IND_0071,Young Adult (18-35),28.58186,77.298888,2026-08-31 00:53:25,Monday,Overcast,Noida Sector 18,13.12,24.72,Dwarka Sector 21,33.1,Noida Sector 18
CASE_IND_0072,PERSON_IND_0072,Child (5-12),28.570976,77.138463,2026-08-29 11:08:45,Saturday,Windy,Aerocity Hub,16.03,40.16,Dwarka Sector 21,70.9,Aerocity Hub
CASE_IND_0073,PERSON_IND_0073,Adult (36-60),28.517732,77.096141,2026-08-30 09:44:26,Sunday,Foggy,Cyber City Gurgaon,10.03,27.3,Connaught Place Hub,48.3,Cyber City Gurgaon
CASE_IND_0074,PERSON_IND_0074,Young Adult (18-35),28.553912,77.12695,2026-08-31 01:31:07,Monday,Foggy,Noida Sector 18,16.71,41.1,Dwarka Sector 21,32.5,Aerocity Hub
CASE_IND_0075,PERSON_IND_0075,Teen (13-17),28.555567,77.057366,2026-09-01 05:54:27,Tuesday,Overcast,Dwarka Sector 21,9.27,8.98,Noida Sector 18,4.1,Dwarka Sector 21
CASE_IND_0076,PERSON_IND_0076,Child (5-12),28.551797,77.32135,2026-08-29 14:41:17,Saturday,Rainy,Connaught Place Hub,12.94,6.05,Noida Sector 18,67.3,Noida Sector 18
CASE_IND_0077,PERSON_IND_0077,Young Adult (18-35),28.634732,77.21799,2026-09-01 04:36:24,Tuesday,Overcast,Aerocity Hub,6.58,36.66,Connaught Place Hub,5.4,Connaught Place Hub
CASE_IND_0078,PERSON_IND_0078,Adult (36-60),28.503016,77.107398,2026-08-30 16:37:18,Sunday,Foggy,Connaught Place Hub,16.02,10.45,Connaught Place Hub,41.4,Cyber City Gurgaon
CASE_IND_0079,PERSON_IND_0079,Senior (60+),28.475351,77.074768,2026-08-31 17:20:26,Monday,Clear,Connaught Place Hub,14.81,27.69,Cyber City Gurgaon,16.7,Cyber City Gurgaon
CASE_IND_0080,PERSON_IND_0080,Young Adult (18-35),28.547312,77.175927,2026-08-29 13:45:14,Saturday,Overcast,Cyber City Gurgaon,10.55,24.96,Hauz Khas Village,68.2,Hauz Khas Village
CASE_IND_0081,PERSON_IND_0081,Young Adult (18-35),28.647528,77.21663,2026-08-30 15:27:08,Sunday,Foggy,Dwarka Sector 21,14.15,5.55,Hauz Khas Village,42.5,Connaught Place Hub
CASE_IND_0082,PERSON_IND_0082,Teen (13-17),28.482259,77.085246,2026-08-31 14:59:14,Monday,Clear,Cyber City Gurgaon,5.95,5.13,Cyber City Gurgaon,19.0,Cyber City Gurgaon
CASE_IND_0083,PERSON_IND_0083,Teen (13-17),28.542603,77.180587,2026-08-31 14:23:06,Monday,Clear,Aerocity Hub,10.57,31.38,Hauz Khas Village,19.6,Hauz Khas Village
CASE_IND_0084,PERSON_IND_0084,Young Adult (18-35),28.627731,77.215609,2026-09-01 03:57:30,Tuesday,Windy,Noida Sector 18,6.5,32.61,Connaught Place Hub,6.0,Connaught Place Hub
CASE_IND_0085,PERSON_IND_0085,Teen (13-17),28.574735,77.143797,2026-09-01 02:46:58,Tuesday,Overcast,Dwarka Sector 21,7.71,36.76,Aerocity Hub,7.2,Aerocity Hub
CASE_IND_0086,PERSON_IND_0086,Adult (36-60),28.48524,77.088114,2026-08-30 05:14:31,Sunday,Overcast,Dwarka Sector 21,13.89,31.61,Aerocity Hub,52.8,Cyber City Gurgaon
CASE_IND_0087,PERSON_IND_0087,Young Adult (18-35),28.48415,77.115688,2026-08-30 18:10:38,Sunday,Clear,Cyber City Gurgaon,5.36,20.64,Hauz Khas Village,39.8,Cyber City Gurgaon
CASE_IND_0088,PERSON_IND_0088,Young Adult (18-35),28.625047,77.219466,2026-08-30 23:07:56,Sunday,Rainy,Hauz Khas Village,13.3,23.66,Connaught Place Hub,34.9,Connaught Place Hub
CASE_IND_0089,PERSON_IND_0089,Child (5-12),28.56215,77.051212,2026-08-29 22:50:21,Saturday,Clear,Connaught Place Hub,6.82,41.17,Cyber City Gurgaon,59.2,Dwarka Sector 21
CASE_IND_0090,PERSON_IND_0090,Teen (13-17),28.579503,77.368431,2026-08-30 20:49:18,Sunday,Foggy,Cyber City Gurgaon,7.25,14.54,Noida Sector 18,37.2,Noida Sector 18
CASE_IND_0091,PERSON_IND_0091,Child (5-12),28.5526,77.053012,2026-08-30 14:42:16,Sunday,Clear,Connaught Place Hub,13.11,21.34,Cyber City Gurgaon,43.3,Dwarka Sector 21
CASE_IND_0092,PERSON_IND_0092,Adult (36-60),28.590625,77.193025,2026-08-29 23:59:47,Saturday,Rainy,Connaught Place Hub,13.27,37.62,Noida Sector 18,58.0,Hauz Khas Village
CASE_IND_0093,PERSON_IND_0093,Teen (13-17),28.536441,77.121785,2026-08-31 01:41:43,Monday,Clear,Cyber City Gurgaon,15.5,17.38,Connaught Place Hub,32.3,Aerocity Hub
CASE_IND_0094,PERSON_IND_0094,Adult (36-60),28.483294,77.096302,2026-09-01 07:18:44,Tuesday,Rainy,Cyber City Gurgaon,3.98,36.33,Cyber City Gurgaon,2.7,Cyber City Gurgaon
CASE_IND_0095,PERSON_IND_0095,Senior (60+),28.580311,77.326526,2026-08-29 16:32:31,Saturday,Clear,Noida Sector 18,1.22,41.21,Connaught Place Hub,65.5,Noida Sector 18
CASE_IND_0096,PERSON_IND_0096,Teen (13-17),28.539,77.102229,2026-08-31 01:29:54,Monday,Overcast,Aerocity Hub,11.85,18.54,Dwarka Sector 21,32.5,Aerocity Hub
CASE_IND_0097,PERSON_IND_0097,Child (5-12),28.536825,77.226427,2026-09-01 04:44:10,Tuesday,Clear,Hauz Khas Village,18.14,10.14,Hauz Khas Village,5.3,Hauz Khas Village
CASE_IND_0098,PERSON_IND_0098,Adult (36-60),28.555431,77.051461,2026-08-29 20:40:02,Saturday,Windy,Dwarka Sector 21,10.14,36.17,Cyber City Gurgaon,61.3,Dwarka Sector 21
CASE_IND_0099,PERSON_IND_0099,Adult (36-60),28.556584,77.045788,2026-08-31 00:41:12,Monday,Foggy,Dwarka Sector 21,18.03,44.47,Cyber City Gurgaon,33.3,Dwarka Sector 21
CASE_IND_0100,PERSON_IND_0100,Teen (13-17),28.564577,77.063733,2026-08-31 18:45:30,Monday,Windy,Dwarka Sector 21,8.35,7.74,Dwarka Sector 21,15.2,Dwarka Sector 21
CASE_IND_0101,PERSON_IND_0101,Young Adult (18-35),28.551648,77.07134,2026-08-31 15:22:25,Monday,Clear,Cyber City Gurgaon,8.28,20.72,Dwarka Sector 21,18.6,Dwarka Sector 21
CASE_IND_0102,PERSON_IND_0102,Adult (36-60),28.549665,77.054234,2026-09-01 00:58:03,Tuesday,Overcast,Aerocity Hub,17.02,32.21,Hauz Khas Village,9.0,Dwarka Sector 21
CASE_IND_0103,PERSON_IND_0103,Young Adult (18-35),28.534049,77.102746,2026-08-31 08:03:57,Monday,Overcast,Aerocity Hub,9.18,42.32,Hauz Khas Village,25.9,Aerocity Hub
CASE_IND_0104,PERSON_IND_0104,Young Adult (18-35),28.567304,77.325204,2026-08-30 20:04:13,Sunday,Clear,Dwarka Sector 21,9.59,43.22,Dwarka Sector 21,37.9,Noida Sector 18
CASE_IND_0105,PERSON_IND_0105,Senior (60+),28.568949,77.058514,2026-09-01 04:17:26,Tuesday,Rainy,Dwarka Sector 21,9.8,44.65,Hauz Khas Village,5.7,Dwarka Sector 21
CASE_IND_0106,PERSON_IND_0106,Adult (36-60),28.525305,77.18873,2026-08-31 07:43:29,Monday,Clear,Aerocity Hub,9.19,24.42,Aerocity Hub,26.3,Hauz Khas Village
CASE_IND_0107,PERSON_IND_0107,Young Adult (18-35),28.531762,77.2206,2026-08-31 00:32:14,Monday,Windy,Hauz Khas Village,15.73,14.43,Connaught Place Hub,33.5,Hauz Khas Village
CASE_IND_0108,PERSON_IND_0108,Young Adult (18-35),28.501324,77.080336,2026-09-01 03:54:49,Tuesday,Rainy,Connaught Place Hub,15.91,7.31,Cyber City Gurgaon,6.1,Cyber City Gurgaon
CASE_IND_0109,PERSON_IND_0109,Adult (36-60),28.519945,77.08824,2026-08-31 02:08:30,Monday,Rainy,Connaught Place Hub,7.3,34.21,Dwarka Sector 21,31.9,Cyber City Gurgaon
CASE_IND_0110,PERSON_IND_0110,Teen (13-17),28.589217,77.302698,2026-08-31 18:26:25,Monday,Foggy,Noida Sector 18,13.31,7.86,Connaught Place Hub,15.6,Noida Sector 18
CASE_IND_0111,PERSON_IND_0111,Adult (36-60),28.506649,77.095962,2026-08-29 11:50:21,Saturday,Windy,Hauz Khas Village,2.58,17.9,Dwarka Sector 21,70.2,Cyber City Gurgaon
CASE_IND_0112,PERSON_IND_0112,Teen (13-17),28.450385,77.066857,2026-08-30 06:20:35,Sunday,Clear,Connaught Place Hub,4.41,42.36,Cyber City Gurgaon,51.7,Cyber City Gurgaon
CASE_IND_0113,PERSON_IND_0113,Teen (13-17),28.567921,77.070429,2026-08-29 18:48:37,Saturday,Overcast,Hauz Khas Village,15.42,32.24,Aerocity Hub,63.2,Dwarka Sector 21
CASE_IND_0114,PERSON_IND_0114,Teen (13-17),28.474324,77.097528,2026-08-30 09:52:28,Sunday,Foggy,Hauz Khas Village,15.72,4.24,Aerocity Hub,48.1,Cyber City Gurgaon
CASE_IND_0115,PERSON_IND_0115,Adult (36-60),28.563848,77.202639,2026-08-29 16:32:12,Saturday,Overcast,Aerocity Hub,8.31,20.02,Aerocity Hub,65.5,Hauz Khas Village
CASE_IND_0116,PERSON_IND_0116,Teen (13-17),28.584656,77.211614,2026-08-30 16:44:11,Sunday,Overcast,Noida Sector 18,14.62,29.27,Noida Sector 18,41.3,Connaught Place Hub
CASE_IND_0117,PERSON_IND_0117,Young Adult (18-35),28.571881,77.026303,2026-08-30 12:54:00,Sunday,Windy,Dwarka Sector 21,12.61,35.52,Cyber City Gurgaon,45.1,Dwarka Sector 21
CASE_IND_0118,PERSON_IND_0118,Young Adult (18-35),28.532089,77.102869,2026-08-31 22:51:27,Monday,Clear,Hauz Khas Village,8.62,27.8,Cyber City Gurgaon,11.1,Cyber City Gurgaon
CASE_IND_0119,PERSON_IND_0119,Teen (13-17),28.557789,77.338606,2026-08-31 03:59:40,Monday,Rainy,Noida Sector 18,13.76,19.63,Connaught Place Hub,30.0,Noida Sector 18
CASE_IND_0120,PERSON_IND_0120,Young Adult (18-35),28.594135,77.325628,2026-08-30 09:28:57,Sunday,Windy,Hauz Khas Village,1.46,8.76,Noida Sector 18,48.5,Noida Sector 18
CASE_IND_0121,PERSON_IND_0121,Young Adult (18-35),28.551458,77.044627,2026-08-31 07:10:20,Monday,Rainy,Dwarka Sector 21,7.77,44.4,Noida Sector 18,26.8,Dwarka Sector 21
CASE_IND_0122,PERSON_IND_0122,Senior (60+),28.566616,77.344106,2026-08-30 21:58:39,Sunday,Overcast,Noida Sector 18,15.75,39.01,Hauz Khas Village,36.0,Noida Sector 18
CASE_IND_0123,PERSON_IND_0123,Adult (36-60),28.570645,77.322862,2026-08-31 12:01:45,Monday,Clear,Noida Sector 18,9.82,15.64,Noida Sector 18,22.0,Noida Sector 18
CASE_IND_0124,PERSON_IND_0124,Teen (13-17),28.64148,77.208585,2026-08-31 23:13:08,Monday,Windy,Connaught Place Hub,10.85,6.29,Aerocity Hub,10.8,Connaught Place Hub
CASE_IND_0125,PERSON_IND_0125,Adult (36-60),28.479603,77.081593,2026-08-29 14:38:07,Saturday,Foggy,Cyber City Gurgaon,17.02,20.33,Dwarka Sector 21,67.4,Cyber City Gurgaon
CASE_IND_0126,PERSON_IND_0126,Young Adult (18-35),28.579516,77.206408,2026-08-31 13:56:08,Monday,Foggy,Hauz Khas Village,13.99,13.41,Noida Sector 18,20.1,Hauz Khas Village
CASE_IND_0127,PERSON_IND_0127,Young Adult (18-35),28.484866,77.071905,2026-08-30 12:54:28,Sunday,Overcast,Cyber City Gurgaon,1.55,10.95,Connaught Place Hub,45.1,Cyber City Gurgaon
CASE_IND_0128,PERSON_IND_0128,Teen (13-17),28.536426,77.200168,2026-08-29 21:19:03,Saturday,Windy,Hauz Khas Village,14.74,20.97,Connaught Place Hub,60.7,Hauz Khas Village
CASE_IND_0129,PERSON_IND_0129,Child (5-12),28.543005,77.129838,2026-08-31 16:32:18,Monday,Overcast,Noida Sector 18,5.59,30.23,Aerocity Hub,17.5,Aerocity Hub
CASE_IND_0130,PERSON_IND_0130,Teen (13-17),28.540413,77.063011,2026-08-30 19:32:21,Sunday,Rainy,Dwarka Sector 21,14.97,22.84,Hauz Khas Village,38.5,Dwarka Sector 21
CASE_IND_0131,PERSON_IND_0131,Adult (36-60),28.546499,77.128507,2026-09-01 00:56:11,Tuesday,Windy,Aerocity Hub,5.89,43.19,Hauz Khas Village,9.1,Aerocity Hub
CASE_IND_0132,PERSON_IND_0132,Child (5-12),28.558915,77.336294,2026-09-01 03:35:39,Tuesday,Overcast,Noida Sector 18,10.63,8.65,Noida Sector 18,6.4,Noida Sector 18
