poi_id,name,category,district,latitude,longitude,amenity_type
OSM_IND_0154,North Delhi Railway Station 154,Railway Station,North Delhi,28.74478,77.389746,railway_station
OSM_IND_0155,Noida Metro Station 155,Metro Station,Noida,28.66714,77.355128,metro_station
OSM_IND_0156,West Delhi Residential Area 156,Residential Area,West Delhi,28.527394,77.058234,residential_area
OSM_IND_0157,North Delhi Residential Area 157,Residential Area,North Delhi,28.465301,77.20147,residential_area
OSM_IND_0158,Gurgaon Commercial Center 158,Commercial Center,Gurgaon,28.578456,77.298136,commercial_center
OSM_IND_0159,North Delhi Park 159,Park,North Delhi,28.496959,77.435416,park
OSM_IND_0160,Central Delhi Police Station 160,Police Station,Central Delhi,28.416601,76.955529,police_station
OSM_IND_0161,Noida Market 161,Market,Noida,28.427884,77.05999,market
OSM_IND_0162,North Delhi Police Station 162,Police Station,North Delhi,28.411003,77.430251,police_station
OSM_IND_0163,West Delhi Residential Area 163,Residential Area,West Delhi,28.516701,77.445366,residential_area
OSM_IND_0164,Faridabad School 164,School,Faridabad,28.440003,76.90829,school
OSM_IND_0165,Gurgaon Metro Station 165,Metro Station,Gurgaon,28.558757,77.23353,metro_station
OSM_IND_0166,Faridabad Market 166,Market,Faridabad,28.695694,76.90747,market
OSM_IND_0167,Central Delhi Market 167,Market,Central Delhi,28.740939,77.118087,market
OSM_IND_0168,Central Delhi Market 168,Market,Central Delhi,28.677401,77.254944,market
OSM_IND_0169,Noida Commercial Center 169,Commercial Center,Noida,28.495825,76.915556,commercial_center
OSM_IND_0170,Noida School 170,School,Noida,28.840769,77.073166,school
OSM_IND_0171,South Delhi Market 171,Market,South Delhi,28.803198,76.92842,market
OSM_IND_0172,Central Delhi School 172,School,Central Delhi,28.568463,77.31781,school
OSM_IND_0173,Noida Metro Station 173,Metro Station,Noida,28.778102,77.355594,metro_station
OSM_IND_0174,Gurgaon Hospital 174,Hospital,Gurgaon,28.431033,77.317634,hospital
OSM_IND_0175,North Delhi Market 175,Market,North Delhi,28.726549,77.118474,market
OSM_IND_0176,Faridabad School 176,School,Faridabad,28.423178,77.073216,school
OSM_IND_0177,West Delhi Police Station 177,Police Station,West Delhi,28.834215,77.367108,police_station
OSM_IND_0178,West Delhi Market 178,Market,West Delhi,28.812768,77.041468,market
OSM_IND_0179,Noida Residential Area 179,Residential Area,Noida,28.849041,77.172975,residential_area
OSM_IND_0180,Faridabad Hospital 180,Hospital,Faridabad,28.591497,77.113294,hospital
OSM_IND_0181,West Delhi Market 181,Market,West Delhi,28.616901,77.245152,market
OSM_IND_0182,South Delhi Metro Station 182,Metro Station,South Delhi,28.521596,77.277451,metro_station
OSM_IND_0183,South Delhi Railway Station 183,Railway Station,South Delhi,28.792785,77.445937,railway_station
OSM_IND_0184,Central Delhi Road Intersection 184,Road Intersection,Central Delhi,28.715114,77.008768,road_intersection
OSM_IND_0185,Faridabad Hospital 185,Hospital,Faridabad,28.597047,77.116648,hospital
OSM_IND_0186,South Delhi Road Intersection 186,Road Intersection,South Delhi,28.69893,77.408604,road_intersection
OSM_IND_0187,North Delhi Road Intersection 187,Road Intersection,North Delhi,28.734238,77.281917,road_intersection
OSM_IND_0188,Central Delhi School 188,School,Central Delhi,28.610765,77.094862,school
OSM_IND_0189,Faridabad Hospital 189,Hospital,Faridabad,28.744014,77.089388,hospital
OSM_IND_0190,Central Delhi Road Intersection 190,Road Intersection,Central Delhi,28.469241,76.988602,road_intersection
OSM_IND_0191,Faridabad Metro Station 191,Metro Station,Faridabad,28.404328,77.167791,metro_station
OSM_IND_0192,Faridabad Metro Station 192,Metro Station,Faridabad,28.820971,77.275591,metro_station
OSM_IND_0193,Gurgaon Railway Station 193,Railway Station,Gurgaon,28.559767,77.359852,railway_station
OSM_IND_0194,West Delhi Police Station 194,Police Station,West Delhi,28.460158,77.317351,police_station
OSM_IND_0195,Faridabad School 195,School,Faridabad,28.442786,77.265305,school
OSM_IND_0196,North Delhi Commercial Center 196,Commercial Center,North Delhi,28.693866,77.19154,commercial_center
OSM_IND_0197,Faridabad Police Station 197,Police Station,Faridabad,28.7597,77.442375,police_station
OSM_IND_0198,Gurgaon School 198,School,Gurgaon,28.40676,77.279737,school
OSM_IND_0199,North Delhi Railway Station 199,Railway Station,North Delhi,28.66533,77.434547,railway_station
OSM_IND_0200,South Delhi Hospital 200,Hospital,South Delhi,28.566012,77.209513,hospital
